key	text	tooltip
#Loc;1;text/db/derpy_great_guilds.loc		
derpy_gg_rank_name_1	Unmarked	false
derpy_gg_rank_name_2	Indebted	false
derpy_gg_rank_name_3	Sworn	false
derpy_gg_rank_name_4	Favoured	false
derpy_gg_rank_name_5	Exalted	false
derpy_gg_guild_name_brass	The Brass Tablets	false
derpy_gg_guild_desc_brass	Tally-keepers and caravan masters. They record every debt in the Dark Lands and forgive none of them.||Reputation accrues from your trade and treasury income.||Ranks pay, for every region you own: +3% income from all buildings at 100 rep / +6% income from all buildings at 300 rep / +10% income from all buildings at 700 rep / +15% income from all buildings at 1500 rep.	false
effect_bundles_localised_title_derpy_gg_rank_brass_2	The Brass Tablets - Indebted	false
effect_bundles_localised_description_derpy_gg_rank_brass_2	Rank 2 of 5 with The Brass Tablets, held at 100 reputation. +3% income from all buildings, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_brass_3	The Brass Tablets - Sworn	false
effect_bundles_localised_description_derpy_gg_rank_brass_3	Rank 3 of 5 with The Brass Tablets, held at 300 reputation. +6% income from all buildings, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_brass_4	The Brass Tablets - Favoured	false
effect_bundles_localised_description_derpy_gg_rank_brass_4	Rank 4 of 5 with The Brass Tablets, held at 700 reputation. +10% income from all buildings, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_brass_5	The Brass Tablets - Exalted	false
effect_bundles_localised_description_derpy_gg_rank_brass_5	Rank 5 of 5 with The Brass Tablets, held at 1500 reputation. +15% income from all buildings, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_lead_brass	The Brass Tablets - Foremost	false
effect_bundles_localised_description_derpy_gg_lead_brass	You hold more reputation with The Brass Tablets than any other faction in the world. +10% income from all buildings, for every region you own, on top of whatever your rank already pays - and their greatest service is open to you alone. This lasts only while you lead them.	false
derpy_gg_guild_name_immortals	The Immortals	false
derpy_gg_guild_desc_immortals	The oath-sworn companies who fight for whoever holds their bond, and never break it.||Reputation accrues from battles you win, and doubles when you win outnumbered.||Ranks pay, for every army: +3% replenishment rate at 100 rep / +6% replenishment rate at 300 rep / +10% replenishment rate at 700 rep / +15% replenishment rate at 1500 rep. And, for your faction: +1 recruitment capacity at 300 rep / +2 recruitment capacity at 700 rep / +3 recruitment capacity at 1500 rep.	false
effect_bundles_localised_title_derpy_gg_rank_immortals_2	The Immortals - Indebted	false
effect_bundles_localised_description_derpy_gg_rank_immortals_2	Rank 2 of 5 with The Immortals, held at 100 reputation. +3% replenishment rate, for every army. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_immortals_3	The Immortals - Sworn	false
effect_bundles_localised_description_derpy_gg_rank_immortals_3	Rank 3 of 5 with The Immortals, held at 300 reputation. +6% replenishment rate, for every army. +1 recruitment capacity, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_immortals_4	The Immortals - Favoured	false
effect_bundles_localised_description_derpy_gg_rank_immortals_4	Rank 4 of 5 with The Immortals, held at 700 reputation. +10% replenishment rate, for every army. +2 recruitment capacity, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_immortals_5	The Immortals - Exalted	false
effect_bundles_localised_description_derpy_gg_rank_immortals_5	Rank 5 of 5 with The Immortals, held at 1500 reputation. +15% replenishment rate, for every army. +3 recruitment capacity, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_lead_immortals	The Immortals - Foremost	false
effect_bundles_localised_description_derpy_gg_lead_immortals	You hold more reputation with The Immortals than any other faction in the world. +10% replenishment rate, for every army, on top of whatever your rank already pays - and their greatest service is open to you alone. This lasts only while you lead them.	false
derpy_gg_guild_name_daemonsmiths	The Daemonsmiths	false
derpy_gg_guild_desc_daemonsmiths	Those who bind daemons into iron. They sell knowledge, never cheaply.||Reputation accrues from technologies you complete.||Ranks pay, for your faction: +3% research rate at 100 rep / +6% research rate at 300 rep / +10% research rate at 700 rep / +15% research rate at 1500 rep.	false
effect_bundles_localised_title_derpy_gg_rank_daemonsmiths_2	The Daemonsmiths - Indebted	false
effect_bundles_localised_description_derpy_gg_rank_daemonsmiths_2	Rank 2 of 5 with The Daemonsmiths, held at 100 reputation. +3% research rate, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_daemonsmiths_3	The Daemonsmiths - Sworn	false
effect_bundles_localised_description_derpy_gg_rank_daemonsmiths_3	Rank 3 of 5 with The Daemonsmiths, held at 300 reputation. +6% research rate, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_daemonsmiths_4	The Daemonsmiths - Favoured	false
effect_bundles_localised_description_derpy_gg_rank_daemonsmiths_4	Rank 4 of 5 with The Daemonsmiths, held at 700 reputation. +10% research rate, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_daemonsmiths_5	The Daemonsmiths - Exalted	false
effect_bundles_localised_description_derpy_gg_rank_daemonsmiths_5	Rank 5 of 5 with The Daemonsmiths, held at 1500 reputation. +15% research rate, for your faction. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_lead_daemonsmiths	The Daemonsmiths - Foremost	false
effect_bundles_localised_description_derpy_gg_lead_daemonsmiths	You hold more reputation with The Daemonsmiths than any other faction in the world. +10% research rate, for your faction, on top of whatever your rank already pays - and their greatest service is open to you alone. This lasts only while you lead them.	false
derpy_gg_guild_name_khanate	The Khanate	false
derpy_gg_guild_desc_khanate	Hobgoblin knives and hobgoblin eyes, for hire to anyone, including against you.||Reputation accrues from agent actions you carry out.||Ranks pay, for every province you own: -3% agent recruitment cost at 100 rep / -6% agent recruitment cost at 300 rep / -10% agent recruitment cost at 700 rep / -15% agent recruitment cost at 1500 rep.	false
effect_bundles_localised_title_derpy_gg_rank_khanate_2	The Khanate - Indebted	false
effect_bundles_localised_description_derpy_gg_rank_khanate_2	Rank 2 of 5 with The Khanate, held at 100 reputation. -3% agent recruitment cost, for every province you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_khanate_3	The Khanate - Sworn	false
effect_bundles_localised_description_derpy_gg_rank_khanate_3	Rank 3 of 5 with The Khanate, held at 300 reputation. -6% agent recruitment cost, for every province you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_khanate_4	The Khanate - Favoured	false
effect_bundles_localised_description_derpy_gg_rank_khanate_4	Rank 4 of 5 with The Khanate, held at 700 reputation. -10% agent recruitment cost, for every province you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_khanate_5	The Khanate - Exalted	false
effect_bundles_localised_description_derpy_gg_rank_khanate_5	Rank 5 of 5 with The Khanate, held at 1500 reputation. -15% agent recruitment cost, for every province you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_lead_khanate	The Khanate - Foremost	false
effect_bundles_localised_description_derpy_gg_lead_khanate	You hold more reputation with The Khanate than any other faction in the world. -10% agent recruitment cost, for every province you own, on top of whatever your rank already pays - and their greatest service is open to you alone. This lasts only while you lead them.	false
derpy_gg_guild_name_overseers	The Overseers	false
derpy_gg_guild_desc_overseers	The gang-masters who drive the building of Zharr Naggrund and everything like it.||Reputation accrues from buildings you complete, and more from higher levels.||Ranks pay, for every region you own: -3% building construction cost at 100 rep / -6% building construction cost at 300 rep / -10% building construction cost at 700 rep / -15% building construction cost at 1500 rep.	false
effect_bundles_localised_title_derpy_gg_rank_overseers_2	The Overseers - Indebted	false
effect_bundles_localised_description_derpy_gg_rank_overseers_2	Rank 2 of 5 with The Overseers, held at 100 reputation. -3% building construction cost, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_overseers_3	The Overseers - Sworn	false
effect_bundles_localised_description_derpy_gg_rank_overseers_3	Rank 3 of 5 with The Overseers, held at 300 reputation. -6% building construction cost, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_overseers_4	The Overseers - Favoured	false
effect_bundles_localised_description_derpy_gg_rank_overseers_4	Rank 4 of 5 with The Overseers, held at 700 reputation. -10% building construction cost, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_overseers_5	The Overseers - Exalted	false
effect_bundles_localised_description_derpy_gg_rank_overseers_5	Rank 5 of 5 with The Overseers, held at 1500 reputation. -15% building construction cost, for every region you own. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_lead_overseers	The Overseers - Foremost	false
effect_bundles_localised_description_derpy_gg_lead_overseers	You hold more reputation with The Overseers than any other faction in the world. -10% building construction cost, for every region you own, on top of whatever your rank already pays - and their greatest service is open to you alone. This lasts only while you lead them.	false
derpy_gg_guild_name_slavers	The Slavers	false
derpy_gg_guild_desc_slavers	The coffle-drivers. Their ledger is measured in bodies, and it is always growing.||Reputation accrues from settlements you sack, and more from those you raze.||Ranks pay, for every army: +3% income from sacking and razing at 100 rep / +6% income from sacking and razing at 300 rep / +10% income from sacking and razing at 700 rep / +15% income from sacking and razing at 1500 rep.	false
effect_bundles_localised_title_derpy_gg_rank_slavers_2	The Slavers - Indebted	false
effect_bundles_localised_description_derpy_gg_rank_slavers_2	Rank 2 of 5 with The Slavers, held at 100 reputation. +3% income from sacking and razing, for every army. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_slavers_3	The Slavers - Sworn	false
effect_bundles_localised_description_derpy_gg_rank_slavers_3	Rank 3 of 5 with The Slavers, held at 300 reputation. +6% income from sacking and razing, for every army. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_slavers_4	The Slavers - Favoured	false
effect_bundles_localised_description_derpy_gg_rank_slavers_4	Rank 4 of 5 with The Slavers, held at 700 reputation. +10% income from sacking and razing, for every army. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_rank_slavers_5	The Slavers - Exalted	false
effect_bundles_localised_description_derpy_gg_rank_slavers_5	Rank 5 of 5 with The Slavers, held at 1500 reputation. +15% income from sacking and razing, for every army. This lasts as long as the rank does.	false
effect_bundles_localised_title_derpy_gg_lead_slavers	The Slavers - Foremost	false
effect_bundles_localised_description_derpy_gg_lead_slavers	You hold more reputation with The Slavers than any other faction in the world. +10% income from sacking and razing, for every army, on top of whatever your rank already pays - and their greatest service is open to you alone. This lasts only while you lead them.	false
effect_bundles_localised_title_derpy_gg_patron	Guild Patron	false
effect_bundles_localised_description_derpy_gg_patron	This lord speaks for one of the Great Guilds, and the guild answers. +10% replenishment and +10% campaign movement for their army. While they hold the post, that guild's reputation pays half again and its services cost 10% less. Only one lord may hold it.	false
derpy_gg_service_name_caravan_levy	Caravan Levy	false
derpy_gg_service_desc_caravan_levy	Calls in debts across the trade roads. Adds 2,500 gold to your treasury at once.||Costs 50 favour. Cooldown 8 turns. Needs rank 2, Indebted.	false
derpy_gg_service_name_writ_monopoly	Writ of Monopoly	false
derpy_gg_service_desc_writ_monopoly	+32% income from all buildings, for every region you own, for 10 turns.||Costs 150 favour. Cooldown 12 turns. Needs rank 3, Sworn.	false
effect_bundles_localised_title_derpy_gg_svc_writ_monopoly	Writ of Monopoly	false
effect_bundles_localised_description_derpy_gg_svc_writ_monopoly	Bought from The Brass Tablets with favour. +32% income from all buildings, for every region you own. Runs for 10 turns.	false
derpy_gg_service_name_long_ledger	The Long Ledger	false
derpy_gg_service_desc_long_ledger	+45% income from all buildings, for every region you own, for 15 turns.||Costs 400 favour. Cooldown 20 turns. Needs rank 4, Favoured. Only the faction that leads The Brass Tablets may buy it.	false
effect_bundles_localised_title_derpy_gg_svc_long_ledger	The Long Ledger	false
effect_bundles_localised_description_derpy_gg_svc_long_ledger	Bought from The Brass Tablets with favour. +45% income from all buildings, for every region you own. Runs for 15 turns.	false
derpy_gg_service_name_oathbound_draft	Oathbound Draft	false
derpy_gg_service_desc_oathbound_draft	+20% replenishment rate, for every army, for 5 turns.||Costs 50 favour. Cooldown 6 turns. Needs rank 2, Indebted.	false
effect_bundles_localised_title_derpy_gg_svc_oathbound_draft	Oathbound Draft	false
effect_bundles_localised_description_derpy_gg_svc_oathbound_draft	Bought from The Immortals with favour. +20% replenishment rate, for every army. Runs for 5 turns.	false
derpy_gg_service_name_hire_immortals	Hire the Immortals	false
derpy_gg_service_desc_hire_immortals	A company already sworn and already armed. Adds one unit of Infernal Guard (Great Weapons) to an army of your choosing.||Costs 150 favour. Cooldown 10 turns. Needs rank 3, Sworn.	false
derpy_gg_service_name_astragoths_levy	Astragoth's Levy	false
derpy_gg_service_desc_astragoths_levy	+45% replenishment rate, for every army, for 10 turns.||Costs 400 favour. Cooldown 15 turns. Needs rank 4, Favoured. Only the faction that leads The Immortals may buy it.	false
effect_bundles_localised_title_derpy_gg_svc_astragoths_levy	Astragoth's Levy	false
effect_bundles_localised_description_derpy_gg_svc_astragoths_levy	Bought from The Immortals with favour. +45% replenishment rate, for every army. Runs for 10 turns.	false
derpy_gg_service_name_forge_rite	Forge-Rite	false
derpy_gg_service_desc_forge_rite	+20% research rate, for your faction, for 8 turns.||Costs 50 favour. Cooldown 8 turns. Needs rank 2, Indebted.	false
effect_bundles_localised_title_derpy_gg_svc_forge_rite	Forge-Rite	false
effect_bundles_localised_description_derpy_gg_svc_forge_rite	Bought from The Daemonsmiths with favour. +20% research rate, for your faction. Runs for 8 turns.	false
derpy_gg_service_name_bound_blueprint	Bound Blueprint	false
derpy_gg_service_desc_bound_blueprint	The Daemonsmiths hand over work already done. Completes the technology you are currently researching, at once.||Costs 150 favour. Cooldown 14 turns. Needs rank 3, Sworn.	false
derpy_gg_service_name_bound_ordnance	Daemon-Bound Ordnance	false
derpy_gg_service_desc_bound_ordnance	+45% research rate, for your faction, for 10 turns.||Costs 400 favour. Cooldown 15 turns. Needs rank 4, Favoured. Only the faction that leads The Daemonsmiths may buy it.	false
effect_bundles_localised_title_derpy_gg_svc_bound_ordnance	Daemon-Bound Ordnance	false
effect_bundles_localised_description_derpy_gg_svc_bound_ordnance	Bought from The Daemonsmiths with favour. +45% research rate, for your faction. Runs for 10 turns.	false
derpy_gg_service_name_hobgoblin_eyes	Hobgoblin Eyes	false
derpy_gg_service_desc_hobgoblin_eyes	Hobgoblin scouts sell what they have seen. Reveals one region through the shroud, permanently.||Costs 50 favour. Cooldown 6 turns. Needs rank 2, Indebted.	false
derpy_gg_service_name_knife_in_dark	Knife in the Dark	false
derpy_gg_service_desc_knife_in_dark	-32% agent recruitment cost, for every province you own, for 8 turns.||Costs 150 favour. Cooldown 10 turns. Needs rank 3, Sworn.	false
effect_bundles_localised_title_derpy_gg_svc_knife_in_dark	Knife in the Dark	false
effect_bundles_localised_description_derpy_gg_svc_knife_in_dark	Bought from The Khanate with favour. -32% agent recruitment cost, for every province you own. Runs for 8 turns.	false
derpy_gg_service_name_khans_price	The Khan's Price	false
derpy_gg_service_desc_khans_price	Inflicts +45% agent recruitment cost on a faction you are at war with, across their provinces, for 10 turns. You gain nothing directly - they simply pay more.||Costs 400 favour. Cooldown 18 turns. Needs rank 4, Favoured. Only the faction that leads The Khanate may buy it.	false
effect_bundles_localised_title_derpy_gg_svc_khans_price	The Khan's Price	false
effect_bundles_localised_description_derpy_gg_svc_khans_price	Inflicted by The Khanate, bought with favour. +45% agent recruitment cost, across their provinces. Runs for 10 turns.	false
derpy_gg_service_name_lash_the_gangs	Lash the Gangs	false
derpy_gg_service_desc_lash_the_gangs	-20% building construction cost, for every region you own, for 6 turns.||Costs 50 favour. Cooldown 6 turns. Needs rank 2, Indebted.	false
effect_bundles_localised_title_derpy_gg_svc_lash_the_gangs	Lash the Gangs	false
effect_bundles_localised_description_derpy_gg_svc_lash_the_gangs	Bought from The Overseers with favour. -20% building construction cost, for every region you own. Runs for 6 turns.	false
derpy_gg_service_name_raise_ziggurat	Raise the Ziggurat	false
